"id";"condition";"category";"sector";"text1";"text2";"comment"
"snow";"(temp_djf_iamean_s0p_hist <= -6)";;;"Internal rule";"Hamlet et al. (2007) broadly characterized snowmelt dominant basins as those with DJF below -6&deg;C, hybrid basins as those with DJF between -6&deg;C and 5&deg;C, and rain dominant basins those with a DJF exceeding 5&deg;C. Snow dominated basins are defined for this purpose as basins where the spatial median of temperature is less than or equal to -6&deg;C.";"internal snow rule"
"hybrid";"((temp_djf_iamean_s0p_hist <= -6) && (temp_djf_iamean_s100p_hist >= -6)) || ((temp_djf_iamean_s0p_hist <= 5) && (temp_djf_iamean_s100p_hist >= 5)) || ((temp_djf_iamean_s0p_hist >= -6) && (temp_djf_iamean_s100p_hist <= 5))";;;"Internal rule";"Hybrid basins are basins which spatially vary sufficiently that they include temperature values between -6&deg;C and +5&deg;C.";"internal Hybrid rule"
"rain";"(temp_djf_iamean_s100p_hist >= 5)";;;"Internal rule";"Rain-dominated basins are defined as basins where the spatial median temperature is greater than +5&deg;C; as per Hamlet et al.";"internal Rain rule"
"future-snow";"(temp_djf_iamean_s0p_hist + temp_djf_iamean_s0p_e25p <= -6)";;;"Internal rule";"Internal rule";"internal future Snow rule"
"future-hybrid";"((temp_djf_iamean_s0p_hist + temp_djf_iamean_s0p_e25p <= -6) && (temp_djf_iamean_s100p_hist + temp_djf_iamean_s100p_e75p >= -6)) || ((temp_djf_iamean_s0p_hist + temp_djf_iamean_s0p_e25p <= 5) && (temp_djf_iamean_s100p_hist + temp_djf_iamean_s100p_e75p >= 5)) || ((temp_djf_iamean_s0p_hist + temp_djf_iamean_s0p_e75p >= -6) && (temp_djf_iamean_s100p_hist + temp_djf_iamean_s100p_e25p <= 5))";;;"Internal rule";"Internal rule";"internal Hybrid rule"
"future-rain";"(temp_djf_iamean_s100p_hist + temp_djf_iamean_s100p_e75p >= 5)";;;"Internal rule";"Internal rule";"internal Rain rule"
"shm";"(temp_jul_iamean_smean_hist / ((prec_jja_iamean_smean_hist / 1000) * 92))";;;"Internal rule";"The Summer Heat-to-Moisture index, or SH:M, is an index that defines roughly how dry conditions are. Higher numbers indicate drier conditions.";"internal summer heat:moisture rule"
"1a-i-hydro";"((((prec_djf_iamean_smean_e75p / 100) * prec_djf_iamean_smean_hist) > 0.75 * prec_djf_iastddev_smean_hist) || (((prec_mam_iamean_smean_e75p / 100) * prec_mam_iamean_smean_hist) > 0.75 * prec_mam_iastddev_smean_hist) || (((prec_jja_iamean_smean_e75p / 100) * prec_jja_iamean_smean_hist) > 0.75 * prec_jja_iastddev_smean_hist) || (((prec_son_iamean_smean_e75p / 100) * prec_son_iamean_smean_hist) > 0.75 * prec_son_iastddev_smean_hist))";"Possible Flooding";"Hydrology";"Higher intensity and/or frequency of seasonal precipitation";"If high intensity rainfall has been an issue already, then:<ul><li>Stormwater design standard may no longer be adequate for new construction.</li><li>Existing drainage infrastructure may need capacity increases or augmenting with retention ponds.</li><li>Seasonal water quality may be reduced due to higher sediment load where intense precipitation causes increased soil erosion.</li><li>Combined sewer overflows may become more frequent.</li><li>Stream bank erosion may increase.</li></ul>";
"1a-ii-infra";"((rule_future-hybrid || rule_future-rain) && ((prec_djf_iamean_smean_e75p / 100) * prec_djf_iamean_smean_hist) > 0.75 * prec_djf_iastddev_smean_hist) || (((prec_mam_iamean_smean_e75p / 100) * prec_mam_iamean_smean_hist) > 0.75 * prec_mam_iastddev_smean_hist) || (((prec_jja_iamean_smean_e75p / 100) * prec_jja_iamean_smean_hist) > 0.75 * prec_jja_iastddev_smean_hist) || (((prec_son_iamean_smean_e75p / 100) * prec_son_iamean_smean_hist) > 0.75 * prec_son_iastddev_smean_hist)";"High Intensity Precipitation";"Infrastructure";"Higher intensity and/or frequency of rainfall events";"<ul><li>Drainage appliances' design capacity may be exceeded.</li><li>Road safety may be reduced due to increased ponding and hydroplaning.</li><li>Road crest design may require modification to shed water more quickly.</li><li>Increased risk of flooding.</li><li>Mud, debris, or earth flow frequency may increase.</li></ul>";"same as 1a-i-hydro but only djf if not a snow basin."
"1a-iii-infra";"rule_1a-i-hydro ";"High Intensity Precipitation";"Infrastructure";"Increased debris flow risk";"<ul><li>Higher frequency of intense rainfall events increases the risk of mud/debris/earth flows.</li></ul>";"Quit renaming shit, Trevor"
"1a-iv-infra";"rule_1a-i-hydro";"High Intensity Precipitation";"Infrastructure";"Possible increased incidence of flooding";"<ul><li>Increased precipitation may place additional strain on storm water drainage systems.<ul><li>Assess storm water drainage systems.</li><li>Consider impact of Total Impervious Area (TIA) on storm drainage load.</li><li>Assess need for dikes and stormwater retention ponds.</li><li>Re-examine landscape and other development guidelines.</li><li>Assess agricultural drainage network.</li></ul></li></ul>";
"1a-v-bio";"((prec_son_iamean_smean_e25p > 0) || (prec_djf_iamean_smean_e25p > 0) || (prec_mam_iamean_smean_e25p > 0) || (prec_jja_iamean_smean_e25p > 0))";"High Intensity Precipitation";"Biodiversity";"Seasonal moisture availability increases";"<ul><li>Consider effects of increased precipitation intensity and seasonal moisture availability on habitat.</li></ul>";
"1a-vi-ag";"((((prec_mam_iamean_smean_e75p / 100) * prec_mam_iamean_smean_hist) > 0.75 * prec_mam_iastddev_smean_hist) || (((prec_jja_iamean_smean_e75p / 100) * prec_jja_iamean_smean_hist) > 0.75 * prec_jja_iastddev_smean_hist) || (((prec_son_iamean_smean_e75p / 100) * prec_son_iamean_smean_hist) > 0.75 * prec_son_iastddev_smean_hist))";"High Intensity Precipitation";"Agriculture";"Extreme rainfall events may increase in frequency";"<ul><li>Soil erosion may increase.</li><li>Crops may be damaged.</li><li>Soil erosion may increase.</li><li>Crops may be damaged.</li><li>Pollination and planting may be disrupted.</li><li>Harvesting may be disrupted or prevented.</li><li>Nutrient and input (fertilizer, agricultural chemicals) leaching may increase.</li></ul>";
"1b-i-hydro";"(!rule_future-snow && prec_djf_iamean_smean_e25p > 0) || (prec_son_iamean_smean_e25p > 0) || (prec_mam_iamean_smean_e25p > 0)";"Possible Flooding";"Hydrology";"Increased runoff and potential flooding";"<ul><li>Flooding may increase in frequency and magnitude where flooding is already an issue.</li><li>Seasonal water quality may be reduced.</li><li>Stream bank erosion may increase.</li></ul>";
"1b-ii-ag";"rule_1a-i-hydro";"Possible Flooding";"Agriculture";"Increase in extreme rainfall events";"<ul><li>Increased variability in rainfall may cause changes in flood regimes not anticipated in current emergency management plans.</li><li>Flooding may have agricultural impacts not considered in flood management response plan.</li><li>Examine options for crop production on frequently flooded land.</li></ul>";
"1b-iii-fish";"(( rule_snow || rule_hybrid ) && (pass_djf_iamean_smean_e25p > 0))";"Possible Flooding";"Fisheries";"Possible increase in flow barrier for returning salmon";"Possible increase in incidence of:<ul><li>Spawning failure.</li><li>Forgone harvest.</li><li>Fisheries closures.</li><li>Conflicts among users.</li><li>Species at risk concerns.</li><li>Jurisdictional issues in management response.</li></ul>";
"1b-iv-fish";"(( rule_snow || rule_hybrid ) && (pass_djf_iamean_smean_e25p > 0) && (temp_mam_iamean_smean_e25p > 0 ))";"Possible Flooding";"Fisheries";"Potentially damaging high river flows";"Possible washout of spawning habitat:<ul><li>Habitat damage &mdash; loss of spawning habitat and stream bottom changes.</li><li>Redistribution of woody debris.</li></ul>";
"1b-v-infra";"(rule_1b-i-hydro && (region_oncoast == 1))";"Possible Flooding";"Infrastructure";"Increased runoff and potential flooding";"<ul><li>Assess flood risks in coastal and delta areas from sea level rise and increased river flows.</li></ul>";
"1b-vi-infra";"rule_1b-i-hydro";"Possible Flooding";"Infrastructure";"Increased runoff and potential flooding";"<ul><li>More frequent, higher river flows may cause increased strain on dikes and other flood protection infrastructure.<ul><li>Existing drainage infrastructure may need capacity increases or augmenting with retention ponds.</li><li>Erosion may increase; consider impacts on property and habitat.</li><li>Consider managed retreat and abandonment of frequently flooded land.</li></ul></li><li>Stormwater design standard may no longer be adequate.<ul><li>Combined sewer overflows may become more frequent.</li><li>Natural area parks with streams &amp; creeks may flood requiring greater local budget to manage storm water.</li></ul></li><li>Identify key community assets, e.g hospitals and schools that could be vulnerable to flooding.<ul><li>Increased sediment accumulation may occur in stream and river beds which reduces channel capacity and can result in impacts on bridge stability.</li></ul></li><li>Seasonal water quality may be reduced.</li><li>Recreational services may be reduced due to field closures.</li></ul>";
